mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.36753034591674805,0.011343459941878688,0.0036676406860351564,0.0003874547774509776,0.01,10,4,2,100,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-101.24689739025104,-76.64375359736562,-120.0427841218422,-107.09327922771442,-101.58979118645722,-101.3233011047261,14.091618868158276,47
0.6045105934143067,0.016525826693089763,0.004746437072753906,0.0001867393183209339,0.01,10,4,2,200,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-97.95723463591735,-77.68370272189179,-114.64652785102037,-104.97811980656044,-99.94005191611139,-99.04112738630027,12.140007246810237,29
0.1439065933227539,0.005491640573823949,0.002889585494995117,0.0003515317267204949,0.01,10,4,4,50,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-107.99398377729023,-78.77128895147119,-126.15845196247679,-110.73795529540793,-107.65677869139974,-106.26369173560917,15.340060831354437,65
0.2953657627105713,0.00571638728210966,0.003515481948852539,0.00043036116098793873,0.01,10,4,4,100,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-101.24689739025104,-76.64375359736562,-120.0427841218422,-107.09327922771442,-101.58979118645722,-101.3233011047261,14.091618868158276,47
0.661038589477539,0.008597709957302288,0.005033969879150391,0.0009635021459168695,0.01,10,4,4,200,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-97.95723463591735,-77.68370272189179,-114.64652785102037,-104.97811980656044,-99.94005191611139,-99.04112738630027,12.140007246810237,29
0.15777082443237306,0.024490378955061246,0.0029690742492675783,0.00040575324285946926,0.01,10,8,2,50,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",-105.52301564236242,-79.37110321116924,-129.70584597708378,-107.25848166335078,-104.83664492680875,-105.339018284155,15.950206761899697,61
0.2537750244140625,0.008348027354670282,0.003471994400024414,0.0004943915308898584,0.01,10,8,2,100,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",-99.04740650953642,-79.10057587886084,-123.24941268845623,-102.86129467495512,-97.47581554467435,-100.34690105929658,14.086769437796626,41
0.5576862812042236,0.048469401546870905,0.004314327239990234,0.000332434253583936,0.01,10,8,2,200,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-99.76508315563288,-78.77684605238792,-118.0760954345272,-99.02667566506271,-93.53377004264428,-97.835694070051,12.621894191414128,15
0.13510866165161134,0.00946774013161703,0.0028902530670166016,0.000586619649832153,0.01,10,8,4,50,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}",-105.52301564236242,-79.37110321116924,-129.70584597708378,-107.25848166335078,-104.83664492680875,-105.339018284155,15.950206761899697,61
0.25875124931335447,0.014095647124132764,0.0032190322875976563,0.00025012677554442527,0.01,10,8,4,100,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-99.04740650953642,-79.10057587886084,-123.24941268845623,-102.86129467495512,-97.47581554467435,-100.34690105929658,14.086769437796626,41
0.5424713611602783,0.053252045414722525,0.004606866836547851,0.00030732317983994846,0.01,10,8,4,200,"{'learning_rate': 0.01, 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 200}",-99.76508315563288,-78.77684605238792,-118.0760954345272,-99.02667566506271,-93.53377004264428,-97.835694070051,12.621894191414128,15
0.06491551399230958,0.0016474022664056734,0.002470874786376953,0.00020380957282462465,0.1,3,4,2,50,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-97.32436346334114,-71.45639000947031,-112.48993286203525,-107.63279171341638,-99.00034298014606,-97.58076420568183,14.197819828558943,11
0.13621654510498046,0.00658072965102521,0.0026720523834228515,0.00020491893655425034,0.1,3,4,2,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-102.05604003192279,-74.17278498892064,-110.94062031729285,-106.37904894136418,-95.95282595198087,-97.90026404629626,12.852991376045123,17
0.26587719917297364,0.009498055946591945,0.003079795837402344,0.00030338666668418523,0.1,3,4,2,200,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-106.00777768399911,-77.23756957931562,-111.68383859013578,-108.48236697659546,-95.12190161663038,-99.70669088933528,12.538340861124148,35
0.06702375411987305,0.0009437597366454273,0.002527809143066406,7.060935985122202e-05,0.1,3,4,4,50,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50}",-97.32436346334114,-71.45639000947031,-112.48993286203525,-107.63279171341638,-99.00034298014606,-97.58076420568183,14.197819828558943,11
